name,times,balance,allPay,invest,y
18570,97,4105,-35193,65000,1
18571,41,7105,-22562,10000,0
18572,12,2531,-6526,0,0
18573,53,3565,-26276,55000,0
18574,61,4237,-19080,40000,1
18577,19,4258,-9580,10000,0
18578,45,7004,-25111,25000,0
18582,16,2622,-4843,5000,1
18586,42,4874,-17862,10000,0
18589,20,5715,-12682,10000,0
18590,32,9791,-22080,10000,0
18591,1,145,-1040,0,0
18593,4,5117,-1000,10000,0
18595,48,13828,-28244,20000,0
18597,37,9735,-20828,20000,0
18599,16,4978,-9410,0,0
18601,15,5628,-8843,10000,0
18602,32,9389,-18470,30000,0
18604,46,11219,-34000,20000,0
18605,51,12570,-33917,35000,0
18606,50,11654,-25961,0,0
18611,45,11571,-24822,0,0
18613,32,3901,-12121,15000,1
18618,1,5,-10,0,0
18628,34,9942,-24481,20000,0
18638,46,11735,-27086,40000,0
18639,46,16103,-30515,0,0
18645,31,4539,-24231,20000,0
18647,46,7658,-38425,30000,0
18650,85,6390,-38137,40000,0
18652,54,21758,-28417,0,0
18657,32,3518,-20210,15000,0
18660,43,8660,-27886,30000,0
18661,36,15863,-21522,20000,0
18669,33,2908,-18775,35000,0
18676,34,4604,-21725,20000,0
18679,36,5185,-23020,23000,0
18681,51,4814,-29489,25000,0
18690,55,4761,-15378,5000,1
18692,41,9183,-28856,30000,0
18696,36,8567,-27820,10000,0
18697,42,12582,-18188,10000,0
18702,62,15587,-31384,40000,0
18709,61,8109,-31031,30000,0
18712,57,5377,-27848,20000,0
18720,46,4035,-19206,15000,0
18723,41,5682,-26850,40000,0
18724,35,5685,-18506,20000,0
18727,65,13567,-52460,60000,0
18734,49,9637,-28436,30000,0
18737,55,6246,-26132,20000,0
18746,40,6295,-31991,30000,0
18748,36,7164,-25694,15000,0
18749,37,4982,-22319,15000,0
18753,75,7569,-29251,40000,1
18754,92,23800,-53186,60000,0
18758,48,7552,-30622,10000,0
18764,21,13931,-15176,30000,0
18765,83,3633,-41596,33000,0
18766,90,10089,-36733,20000,0
18767,17,7835,-12761,0,0
18782,54,21910,-36582,40000,0
18783,43,11178,-24120,10000,0
18787,38,11005,-34472,50000,0
18788,69,5271,-24206,20000,1
18789,11,5499,-6388,0,0
18790,44,6721,-18167,10000,0
18791,30,3674,-16910,17500,0
18792,28,6660,-18230,20000,0
18797,6,1481,-5032,0,0
18808,66,8667,-30335,20000,0
18810,15,5334,-11930,0,0
18815,37,9511,-24140,10000,0
18826,27,10196,-16390,20000,0
18831,5,1404,-1434,0,0
18832,15,6587,-9890,20000,0
18833,38,10434,-25975,30000,0
18834,30,3467,-11487,10000,1
18837,57,10359,-33847,20000,0
18840,81,4731,-38523,35000,0
18841,8,5576,-7644,0,0
18842,48,3418,-23040,40000,0
18845,46,4803,-26300,20000,0
18847,14,5477,-10400,10000,0
18850,32,11664,-19467,20000,0
18851,81,13468,-21092,10000,1
18856,42,11158,-30258,20000,0
18859,22,8210,-17363,30000,0
18862,48,5436,-23273,15000,0
18864,53,11665,-28767,20000,0
18866,44,4904,-27630,30000,0
18867,29,9908,-20110,20000,0
18868,27,5447,-12417,10000,0
18869,35,7722,-24810,30000,0
18873,48,4684,-20318,15000,0
18875,57,9984,-33389,20000,0
18876,40,4936,-21687,12000,0
18877,25,6924,-17189,20000,0
18878,46,20047,-39820,30000,0
18881,10,4432,-7050,0,0
18887,53,6571,-21765,30000,0
18889,12,1513,-1930,2000,1
18893,40,10964,-32809,20000,0
18897,61,10555,-46230,10000,0
18898,2,9478,-2710,10000,0
18904,25,2564,-14470,15000,0
18916,14,3629,-8847,0,0
18920,27,4110,-19228,20000,0
18927,30,10116,-29720,20000,0
18931,35,4651,-20399,30000,0
18932,41,4515,-13610,15000,1
18934,20,4463,-7940,10000,1
18935,20,1479,-3345,0,1
18936,57,6929,-30096,50000,0
18943,63,12796,-29839,10000,0
18946,63,10867,-40677,30000,0
18947,32,2270,-14876,14000,0
18949,35,9880,-21361,20000,0
18950,8,7195,-963,8500,0
